time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,-0.001,-0.068,0.003,-0.01,
0.01,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,0.049,0.003,0.003,-0.01,
0.02,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,0.049,0.003,0.003,0.013,
0.03,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,0.049,0.003,0.003,0.013,
0.04,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,0.049,0.003,0.003,0.013,
0.05,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,0.049,0.003,0.003,0.013,
0.06,0,0,0,0,0,0,0,0,0,-0.015,0.005,0.013,0.005,-0.004,0.049,0.003,0.003,0.013,
0.07,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,0.005,-0.004,0.049,0.003,0.003,0.013,
0.08,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,-0.004,0.041,0.071,-0.092,0.003,0.013,
0.09,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,-0.004,0.041,0.071,-0.092,-0.009,0.001,
0.09999999,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,-0.004,0.041,0.071,-0.092,-0.009,0.001,
0.11,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,-0.004,0.041,0.071,-0.092,-0.009,0.001,
0.12,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,-0.004,0.041,0.071,-0.092,-0.009,0.001,
0.13,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.022,-0.004,0.041,0.071,-0.092,-0.009,0.001,
0.14,0,0,0,0,0,0,0,0,0,-0.004,0.005,-0.036,-0.004,0.041,0.071,-0.092,-0.009,0.001,
