time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.036,-0.011,-0.054,0.026,0.001,
0.01,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.002,0.083,-0.066,0.026,0.001,
0.02,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.002,0.083,-0.066,-0.009,0.001,
0.03,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.002,0.083,-0.066,-0.009,0.001,
0.04,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.002,0.083,-0.066,-0.009,0.001,
0.05,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.002,0.083,-0.066,-0.009,0.001,
0.06,0,0,0,0,0,0,0,0,0,0.02,0.016,0.011,0.014,0.002,0.083,-0.066,-0.009,0.001,
0.07,0,0,0,0,0,0,0,0,0,0.031,0.016,0.011,0.014,0.002,0.083,-0.066,-0.009,0.001,
0.08,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,0.083,-0.066,-0.009,0.001,
0.09,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,-0.086,-0.096,-0.02,0.001,
0.09999999,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,-0.086,-0.096,-0.02,-0.033,
0.11,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,-0.086,-0.096,-0.02,-0.033,
0.12,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,-0.086,-0.096,-0.02,-0.033,
0.13,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,-0.086,-0.096,-0.02,-0.033,
0.14,0,0,0,0,0,0,0,0,0,0.031,0.005,-0.001,-0.006,-0.009,-0.086,-0.096,-0.02,-0.033,
0.15,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,-0.006,-0.009,-0.086,-0.096,-0.02,-0.033,
0.16,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.096,-0.02,-0.033,
0.17,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.18,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.19,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.2,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.21,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.22,0,0,0,0,0,0,0,0,0,-0.014,-0.006,0.011,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.23,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,0.027,-0.009,-0.058,-0.099,-0.009,0.07,
0.24,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.009,0.07,
0.25,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.26,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.27,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.28,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.29,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.3,0,0,0,0,0,0,0,0,0,0.011,0.005,0.005,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.31,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.022,0.008,0.035,-0.066,-0.031,0.035,
0.32,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.035,
0.33,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.024,
0.34,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.024,
0.35,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.024,
0.36,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.024,
0.37,0,0,0,0,0,0,0,0,0,0.003,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.024,
0.38,0,0,0,0,0,0,0,0,0,0.009,0.005,-0.012,-0.033,0.008,0,-0.109,-0.031,0.024,
0.39,0,0,0,0,0,0,0,0,0,0.009,0.005,-0.012,0.014,0.008,0,-0.109,-0.031,0.024,
0.4,0,0,0,0,0,0,0,0,0,0.009,0.005,-0.012,0.014,-0.009,0.012,0.081,0.026,0.024,
0.41,0,0,0,0,0,0,0,0,0,0.009,0.005,-0.012,0.014,-0.009,0.012,0.081,0.026,-0.022,
