time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.037,-0.018,-0.023,-0.002,0.027,0.054,
0.01,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.037,-0.018,-0.023,-0.002,0.027,0.054,
0.02,0,0,0,0,0,0,0,0,0,-0.04,0.004,-0.004,-0.037,-0.018,-0.023,-0.002,0.027,0.054,
0.03,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.023,-0.002,0.027,0.054,
0.04,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.013,0.016,-0.098,-0.026,
0.05,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.013,0.016,-0.098,-0.026,
0.06,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.013,0.016,-0.098,-0.026,
0.07,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.013,0.016,-0.098,-0.026,
0.08,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.013,0.016,-0.098,-0.026,
0.09,0,0,0,0,0,0,0,0,0,-0.04,0.004,0.019,0.011,0.023,-0.013,0.016,-0.098,-0.026,
0.09999999,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.013,0.016,-0.098,-0.026,
0.11,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.001,0.055,0.016,-0.014,
0.12,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.001,0.055,0.016,-0.014,
0.13,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.001,0.055,0.016,-0.014,
0.14,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.001,0.055,0.016,-0.014,
0.15,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.001,0.055,0.016,-0.014,
0.16,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.026,-0.008,-0.027,-0.001,0.055,0.016,-0.014,
0.17,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.026,-0.008,-0.026,-0.001,0.055,0.016,-0.014,
0.18,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.026,-0.008,-0.026,0.035,-0.003,0.061,-0.014,
0.19,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.026,-0.008,-0.026,0.035,-0.003,0.061,-0.037,
0.2,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.026,-0.008,-0.026,0.035,-0.003,0.061,-0.037,
0.21,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.026,-0.008,-0.026,0.035,-0.003,0.061,-0.037,
0.22,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.026,-0.008,-0.026,0.035,-0.003,0.061,-0.037,
0.23,0,0,0,0,0,0,0,0,0,0.029,0.004,-0.026,-0.008,-0.026,0.035,-0.003,0.061,-0.037,
0.24,0,0,0,0,0,0,0,0,0,0.029,-0.006,-0.015,-0.008,-0.008,0.035,-0.003,0.061,-0.037,
0.25,0,0,0,0,0,0,0,0,0,0.029,-0.006,-0.015,-0.008,-0.008,-0.012,0.017,0.004,0.031,
0.26,0,0,0,0,0,0,0,0,0,0.029,-0.006,-0.015,-0.008,-0.008,-0.012,0.017,0.004,0.031,
0.27,0,0,0,0,0,0,0,0,0,0.029,-0.006,-0.015,-0.008,-0.008,-0.012,0.017,0.004,0.031,
0.28,0,0,0,0,0,0,0,0,0,0.029,-0.006,-0.015,-0.008,-0.008,-0.012,0.017,0.004,0.031,
0.29,0,0,0,0,0,0,0,0,0,0.029,-0.006,-0.015,-0.008,-0.008,-0.012,0.017,0.004,0.031,
0.3,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.008,-0.008,-0.012,0.017,0.004,0.031,
0.31,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.029,-0.035,0,0.017,0.004,0.031,
0.32,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.029,-0.035,0,0.017,0.039,0.009,
0.33,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.029,-0.035,0,0.017,0.039,0.009,
0.34,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.029,-0.035,0,0.017,0.039,0.009,
0.35,0,0,0,0,0,0,0,0,0,-0.005,0.004,-0.004,-0.029,-0.035,0,0.017,0.039,0.009,
0.36,0,0,0,0,0,0,0,0,0,0.074,0.004,-0.004,-0.029,-0.035,0,0.017,0.039,0.009,
0.37,0,0,0,0,0,0,0,0,0,0.074,0.004,0.013,-0.028,0.001,0.012,0.017,0.039,0.009,
0.38,0,0,0,0,0,0,0,0,0,0.074,0.004,0.013,-0.028,0.001,0.012,0.017,0.016,-0.026,
0.39,0,0,0,0,0,0,0,0,0,0.074,0.004,0.013,-0.028,0.001,0.012,0.017,0.016,-0.026,
0.4,0,0,0,0,0,0,0,0,0,0.074,0.004,0.013,-0.028,0.001,0.012,0.017,0.016,-0.026,
0.41,0,0,0,0,0,0,0,0,0,0.074,0.004,0.013,-0.028,0.001,0.012,0.017,0.016,-0.026,
0.42,0,0,0,0,0,0,0,0,0,0.074,0.004,0.013,-0.028,0.001,0.012,0.017,0.016,-0.026,
0.43,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.015,-0.028,0.001,0.012,0.017,0.016,-0.026,
0.44,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.015,-0.01,0.011,-0.001,0.036,0.016,-0.026,
0.45,0,0,0,0,0,0,0,0,0,-0.005,-0.006,-0.015,-0.01,0.011,-0.001,0.036,0.016,-0.026,
