time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.031,-0.001,-0.013,0.022,0.016,-0.042,-0.041,0.032,-0.005,
0.01,0,0,0,0,0,0,0,0,0,0.031,-0.001,-0.013,0.022,0.016,-0.042,-0.041,0.032,-0.005,
0.02,0,0,0,0,0,0,0,0,0,0.031,-0.001,-0.013,0.022,0.016,-0.042,-0.041,0.032,-0.005,
0.03,0,0,0,0,0,0,0,0,0,0.031,-0.001,-0.013,0.022,0.016,-0.042,-0.041,0.032,-0.005,
0.04,0,0,0,0,0,0,0,0,0,0.031,-0.001,-0.013,0.022,0.016,-0.042,-0.041,0.032,-0.005,
0.05,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.022,0.016,-0.042,-0.041,0.032,-0.005,
0.06,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.032,-0.005,
0.07,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.012,-0.005,
0.08,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.012,-0.005,
0.09,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.012,-0.005,
0.09999999,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.012,-0.005,
0.11,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.012,-0.005,
0.12,0,0,0,0,0,0,0,0,0,-0.012,0.01,-0.026,0.032,0.035,-0.009,-0.005,0.012,-0.005,
0.13,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,-0.009,-0.005,0.012,-0.005,
0.14,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
0.15,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
0.16,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
0.17,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
0.18,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
0.19,0,0,0,0,0,0,0,0,0,0.01,-0.011,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
0.2,0,0,0,0,0,0,0,0,0,-0.08,-0.001,0.006,0.026,0.017,0.027,-0.064,-0.028,-0.008,
