time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.21,0.005,0.005,-0.007,0.002,0.001,-0.009,0.026,0.024,
0.01,0,0,0,0,0,0,0,0,0,-0.21,0.005,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.02,0,0,0,0,0,0,0,0,0,-0.21,0.005,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.03,0,0,0,0,0,0,0,0,0,-0.21,0.005,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.04,0,0,0,0,0,0,0,0,0,-0.21,0.005,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.05,0,0,0,0,0,0,0,0,0,-0.21,0.005,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.06,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.07,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.001,-0.009,0.026,-0.022,
0.08,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.012,0.048,-0.009,-0.033,
0.09,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.012,0.048,-0.009,-0.033,
0.09999999,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.012,0.048,-0.009,-0.033,
0.11,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.012,0.048,-0.009,-0.033,
0.12,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.012,0.048,-0.009,-0.033,
0.13,0,0,0,0,0,0,0,0,0,0.052,-0.006,0.005,-0.007,0.002,0.012,0.048,-0.009,-0.033,
0.14,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.002,0.012,0.048,-0.009,-0.033,
0.15,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.024,0.035,-0.021,-0.009,-0.033,
0.16,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.024,0.035,-0.021,0.003,0.035,
0.17,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.024,0.035,-0.021,0.003,0.035,
0.18,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.024,0.035,-0.021,0.003,0.035,
0.19,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.024,0.035,-0.021,0.003,0.035,
0.2,0,0,0,0,0,0,0,0,0,0.052,0.005,-0.012,-0.023,0.024,0.035,-0.021,0.003,0.035,
0.21,0,0,0,0,0,0,0,0,0,-0.009,0.005,-0.012,-0.023,0.024,0.035,-0.021,0.003,0.035,
0.22,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.035,-0.021,0.003,0.035,
0.23,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.058,-0.009,-0.031,0.035,
0.24,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.058,-0.009,-0.031,-0.01,
0.25,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.058,-0.009,-0.031,-0.01,
0.26,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.058,-0.009,-0.031,-0.01,
0.27,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.058,-0.009,-0.031,-0.01,
0.28,0,0,0,0,0,0,0,0,0,-0.009,0.005,0.016,0.011,-0.015,0.058,-0.009,-0.031,-0.01,
0.29,0,0,0,0,0,0,0,0,0,0.049,-0.006,0.016,0.011,-0.015,0.058,-0.009,-0.031,-0.01,
0.3,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.058,-0.009,-0.031,-0.01,
0.31,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.32,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.33,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.34,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.35,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.36,0,0,0,0,0,0,0,0,0,0.049,-0.006,-0.029,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.37,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,0.002,0.023,-0.055,0.003,0.024,
0.38,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.055,0.003,0.024,
0.39,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.032,-0.02,-0.022,
0.4,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.032,-0.02,-0.022,
0.41,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.032,-0.02,-0.022,
0.42,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.032,-0.02,-0.022,
0.43,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.032,-0.02,-0.022,
0.44,0,0,0,0,0,0,0,0,0,-0.062,0.005,0.011,-0.007,-0.015,-0.056,-0.032,-0.02,-0.022,
0.45,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,-0.015,-0.056,-0.032,-0.02,-0.022,
0.46,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.022,
0.47,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.01,
0.48,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.01,
0.49,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.01,
0.5,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.01,
0.51,0,0,0,0,0,0,0,0,0,0.04,-0.006,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.01,
0.52,0,0,0,0,0,0,0,0,0,0.04,0.005,-0.006,0.011,0.03,-0.011,-0.066,-0.02,-0.01,
0.53,0,0,0,0,0,0,0,0,0,0.04,0.005,-0.012,-0.044,0.002,0.001,-0.066,-0.02,-0.01,
0.54,0,0,0,0,0,0,0,0,0,0.04,0.005,-0.012,-0.044,0.002,0.001,-0.066,0.026,-0.044,
0.55,0,0,0,0,0,0,0,0,0,0.04,0.005,-0.012,-0.044,0.002,0.001,-0.066,0.026,-0.044,
0.56,0,0,0,0,0,0,0,0,0,0.04,0.005,-0.012,-0.044,0.002,0.001,-0.066,0.026,-0.044,
0.57,0,0,0,0,0,0,0,0,0,0.04,0.005,-0.012,-0.044,0.002,0.001,-0.066,0.026,-0.044,
