time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.04,-0.003,0.016,0.02,-0.011,-0.051,-0.019,0.023,-0.023,
0.01,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.016,0.02,-0.011,-0.051,-0.019,0.023,-0.023,
0.02,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,-0.011,-0.051,-0.019,0.023,-0.023,
0.03,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,0,0.098,0.015,0.046,-0.023,
0.04,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,0,0.098,0.015,0.046,-0.046,
0.05,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,0,0.098,0.015,0.046,-0.046,
0.06,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,0,0.098,0.015,0.046,-0.046,
0.07,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,0,0.098,0.015,0.046,-0.046,
0.08,0,0,0,0,0,0,0,0,0,0.063,-0.003,0.005,0.006,0,0.098,0.015,0.046,-0.046,
0.09,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.006,0,0.098,0.015,0.046,-0.046,
0.09999999,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.015,0.046,-0.046,
0.11,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.004,0.023,0.011,
0.12,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.004,0.023,0.011,
0.13,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.004,0.023,0.011,
0.14,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.004,0.023,0.011,
0.15,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.004,0.023,0.011,
0.16,0,0,0,0,0,0,0,0,0,0.017,-0.003,-0.023,0.057,0,-0.005,0.004,0.023,0.011,
0.17,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0,-0.005,0.004,0.023,0.011,
0.18,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0.012,-0.017,-0.019,-0.011,0.011,
0.19,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0.012,-0.017,-0.019,-0.011,-0.035,
0.2,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0.012,-0.017,-0.019,-0.011,-0.035,
0.21,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0.012,-0.017,-0.019,-0.011,-0.035,
0.22,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0.012,-0.017,-0.019,-0.011,-0.035,
0.23,0,0,0,0,0,0,0,0,0,0.097,0.008,0.005,-0.007,0.012,-0.017,-0.019,-0.011,-0.035,
0.24,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.007,0.012,-0.017,-0.019,-0.011,-0.035,
0.25,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,-0.011,-0.035,
0.26,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,0,-0.001,
0.27,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,0,-0.001,
0.28,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,0,-0.001,
0.29,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,0,-0.001,
0.3,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,0,-0.001,
0.31,0,0,0,0,0,0,0,0,0,0.063,0.008,-0.006,-0.024,-0.05,-0.062,-0.019,0,-0.001,
0.32,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.05,-0.062,-0.019,0,-0.001,
0.33,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.017,0.063,0.004,0,-0.001,
0.34,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.017,0.063,0.004,0,0.011,
0.35,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.017,0.063,0.004,0,0.011,
0.36,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.017,0.063,0.004,0,0.011,
0.37,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.017,0.063,0.004,0,0.011,
0.38,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.008,-0.017,0.063,0.004,0,0.011,
0.39,0,0,0,0,0,0,0,0,0,0.04,0.008,-0.001,-0.008,-0.017,0.063,0.004,0,0.011,
0.4,0,0,0,0,0,0,0,0,0,0.04,0.008,0.011,0.029,0,-0.074,0.004,0,0.011,
0.41,0,0,0,0,0,0,0,0,0,0.04,0.008,0.011,0.029,0,-0.074,-0.053,-0.102,-0.012,
0.42,0,0,0,0,0,0,0,0,0,0.04,0.008,0.011,0.029,0,-0.074,-0.053,-0.102,-0.012,
0.43,0,0,0,0,0,0,0,0,0,0.04,0.008,0.011,0.029,0,-0.074,-0.053,-0.102,-0.012,
0.44,0,0,0,0,0,0,0,0,0,0.04,0.008,0.011,0.029,0,-0.074,-0.053,-0.102,-0.012,
0.45,0,0,0,0,0,0,0,0,0,0.04,0.008,0.011,0.029,0,-0.074,-0.053,-0.102,-0.012,
0.46,0,0,0,0,0,0,0,0,0,0.04,-0.013,0.011,0.029,0,-0.074,-0.053,-0.102,-0.012,
0.47,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,-0.053,-0.102,-0.012,
0.48,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,0.004,0.012,-0.001,
0.49,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,0.004,0.012,-0.001,
0.5,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,0.004,0.012,-0.001,
0.51,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,0.004,0.012,-0.001,
0.52,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,0.004,0.012,-0.001,
0.53,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.012,0.02,-0.017,0.006,0.004,0.012,-0.001,
0.54,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,0.006,0.004,0.012,-0.001,
0.55,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,-0.074,0.015,0.023,-0.001,
0.56,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,-0.074,0.015,0.023,-0.012,
0.57,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,-0.074,0.015,0.023,-0.012,
0.58,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,-0.074,0.015,0.023,-0.012,
0.59,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,-0.074,0.015,0.023,-0.012,
0.6,0,0,0,0,0,0,0,0,0,0.04,-0.013,-0.017,-0.022,-0.017,-0.074,0.015,0.023,-0.012,
0.61,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,-0.022,-0.017,-0.074,0.015,0.023,-0.012,
0.62,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,0.024,0.006,-0.017,0.015,0.023,-0.012,
0.63,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,0.024,0.006,-0.017,0.015,0.057,0.056,
0.64,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,0.024,0.006,-0.017,0.015,0.057,0.056,
0.65,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,0.024,0.006,-0.017,0.015,0.057,0.056,
0.66,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,0.024,0.006,-0.017,0.015,0.057,0.056,
0.67,0,0,0,0,0,0,0,0,0,0.052,0.008,-0.023,0.024,0.006,-0.017,0.015,0.057,0.056,
0.68,0,0,0,0,0,0,0,0,0,0.04,0.008,-0.023,0.024,0.006,-0.017,0.015,0.057,0.056,
0.69,0,0,0,0,0,0,0,0,0,0.04,-0.003,-0.023,-0.005,0.006,-0.017,0.015,0.057,0.056,
0.7,0,0,0,0,0,0,0,0,0,0.04,-0.003,-0.023,-0.005,0.006,0.075,-0.019,0.046,0.045,
0.71,0,0,0,0,0,0,0,0,0,0.04,-0.003,-0.023,-0.005,0.006,0.075,-0.019,0.046,0.045,
0.72,0,0,0,0,0,0,0,0,0,0.04,-0.003,-0.023,-0.005,0.006,0.075,-0.019,0.046,0.045,
0.73,0,0,0,0,0,0,0,0,0,0.04,-0.003,-0.023,-0.005,0.006,0.075,-0.019,0.046,0.045,
0.74,0,0,0,0,0,0,0,0,0,0.04,-0.003,-0.023,-0.005,0.006,0.075,-0.019,0.046,0.045,
0.75,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,-0.005,0.006,0.075,-0.019,0.046,0.045,
0.76,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,0.009,-0.022,-0.051,0.004,0.069,0.045,
0.77,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,0.009,-0.022,-0.051,0.004,0.069,-0.035,
0.78,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,0.009,-0.022,-0.051,0.004,0.069,-0.035,
0.79,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,0.009,-0.022,-0.051,0.004,0.069,-0.035,
0.8,0,0,0,0,0,0,0,0,0,0.086,-0.003,-0.001,0.009,-0.022,-0.051,0.004,0.069,-0.035,
0.81,0,0,0,0,0,0,0,0,0,0.097,0.008,0.022,0.037,-0.028,-0.051,0.004,0.069,-0.035,
0.82,0,0,0,0,0,0,0,0,0,0.097,0.008,0.022,0.037,-0.028,0.098,-0.019,0.08,-0.035,
0.83,0,0,0,0,0,0,0,0,0,0.097,0.008,0.022,0.037,-0.028,0.098,-0.019,0.08,-0.035,
0.84,0,0,0,0,0,0,0,0,0,0.097,0.008,0.022,0.037,-0.028,0.098,-0.019,0.08,-0.035,
0.85,0,0,0,0,0,0,0,0,0,0.097,0.008,0.022,0.037,-0.028,0.098,-0.019,0.08,-0.035,
0.86,0,0,0,0,0,0,0,0,0,0.097,0.008,0.022,0.037,-0.028,0.098,-0.019,0.08,-0.035,
0.87,0,0,0,0,0,0,0,0,0,0.109,0.008,0.022,0.037,-0.028,0.098,-0.019,0.08,-0.035,
0.88,0,0,0,0,0,0,0,0,0,0.109,-0.003,-0.006,0.044,0.017,0.098,-0.019,0.08,-0.035,
0.89,0,0,0,0,0,0,0,0,0,0.109,-0.003,-0.006,0.044,0.017,-0.039,0.015,0.08,-0.001,
0.9,0,0,0,0,0,0,0,0,0,0.109,-0.003,-0.006,0.044,0.017,-0.039,0.015,0.08,-0.001,
0.91,0,0,0,0,0,0,0,0,0,0.109,-0.003,-0.006,0.044,0.017,-0.039,0.015,0.08,-0.001,
0.92,0,0,0,0,0,0,0,0,0,0.109,-0.003,-0.006,0.044,0.017,-0.039,0.015,0.08,-0.001,
0.93,0,0,0,0,0,0,0,0,0,0.109,-0.003,-0.006,0.044,0.017,-0.039,0.015,0.08,-0.001,
0.94,0,0,0,0,0,0,0,0,0,0.029,-0.003,-0.006,0.044,0.017,-0.039,0.015,0.08,-0.001,
0.95,0,0,0,0,0,0,0,0,0,0.029,-0.003,-0.006,0.012,-0.005,-0.096,-0.03,0.08,-0.001,
0.96,0,0,0,0,0,0,0,0,0,0.029,-0.003,-0.006,0.012,-0.005,-0.096,-0.03,0,-0.035,
0.97,0,0,0,0,0,0,0,0,0,0.029,-0.003,-0.006,0.012,-0.005,-0.096,-0.03,0,-0.035,
