time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.007,-0.006,0.034,-0.011,-0.025,-0.003,-0.044,0.043,-0.046,
0.01,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.011,-0.025,-0.003,-0.044,0.043,-0.046,
0.02,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.034,0.004,-0.026,-0.113,0.043,-0.046,
0.03,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.034,0.004,-0.026,-0.113,0.031,-0.011,
0.04,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.034,0.004,-0.026,-0.113,0.031,-0.011,
0.05,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.034,0.004,-0.026,-0.113,0.031,-0.011,
0.06,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.034,0.004,-0.026,-0.113,0.031,-0.011,
0.07,0,0,0,0,0,0,0,0,0,0.036,0.016,-0.011,-0.034,0.004,-0.026,-0.113,0.031,-0.011,
0.08,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.026,-0.113,0.031,-0.011,
0.09,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.038,0.013,0.031,-0.011,
0.09999999,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.038,0.013,0.031,-0.023,
0.11,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.038,0.013,0.031,-0.023,
0.12,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.038,0.013,0.031,-0.023,
0.13,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.038,0.013,0.031,-0.023,
0.14,0,0,0,0,0,0,0,0,0,-0.031,0.016,-0.005,-0.022,0.004,-0.038,0.013,0.031,-0.023,
0.15,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.004,-0.038,0.013,0.031,-0.023,
0.16,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.02,-0.015,0.047,0.031,-0.023,
0.17,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.02,-0.015,0.047,0.054,0.011,
0.18,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.02,-0.015,0.047,0.054,0.011,
0.19,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.02,-0.015,0.047,0.054,0.011,
0.2,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.02,-0.015,0.047,0.054,0.011,
0.21,0,0,0,0,0,0,0,0,0,-0.031,0.005,-0.017,0.023,0.02,-0.015,0.047,0.054,0.011,
