time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.01,0.066,-0.039,-0.044,
0.01,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.029,-0.003,-0.051,-0.044,
0.02,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.029,-0.003,-0.051,0.013,
0.03,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.029,-0.003,-0.051,0.013,
0.04,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.029,-0.003,-0.051,0.013,
0.05,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.029,-0.003,-0.051,0.013,
0.06,0,0,0,0,0,0,0,0,0,0.034,-0.01,0.017,0.005,0.023,0.029,-0.003,-0.051,0.013,
0.07,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.023,0.029,-0.003,-0.051,0.013,
0.08,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.029,-0.029,-0.003,-0.051,0.013,
0.09,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.029,-0.029,-0.003,-0.051,-0.01,
0.09999999,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.029,-0.029,-0.003,-0.051,-0.01,
0.11,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.029,-0.029,-0.003,-0.051,-0.01,
0.12,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.029,-0.029,-0.003,-0.051,-0.01,
0.13,0,0,0,0,0,0,0,0,0,-0.012,0.001,-0.005,0,0.029,-0.029,-0.003,-0.051,-0.01,
0.14,0,0,0,0,0,0,0,0,0,0.011,0.001,-0.005,-0.028,0.029,-0.029,-0.003,-0.051,-0.01,
0.15,0,0,0,0,0,0,0,0,0,0.011,0.001,-0.005,-0.028,0.029,0.049,0.077,-0.041,0.07,
0.16,0,0,0,0,0,0,0,0,0,0.011,0.001,-0.005,-0.028,0.029,0.049,0.077,-0.041,0.07,
0.17,0,0,0,0,0,0,0,0,0,0.011,0.001,-0.005,-0.028,0.029,0.049,0.077,-0.041,0.07,
0.18,0,0,0,0,0,0,0,0,0,0.011,0.001,-0.005,-0.028,0.029,0.049,0.077,-0.041,0.07,
0.19,0,0,0,0,0,0,0,0,0,0.011,0.001,-0.005,-0.028,0.029,0.049,0.077,-0.041,0.07,
0.2,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,-0.028,0.029,0.049,0.077,-0.041,0.07,
0.21,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,0.028,-0.016,0.029,0.077,-0.041,0.07,
0.22,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,0.028,-0.016,0.029,0.054,-0.041,-0.021,
0.23,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,0.028,-0.016,0.029,0.054,-0.041,-0.021,
0.24,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,0.028,-0.016,0.029,0.054,-0.041,-0.021,
0.25,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,0.028,-0.016,0.029,0.054,-0.041,-0.021,
0.26,0,0,0,0,0,0,0,0,0,-0.046,0.001,0.006,0.028,-0.016,0.029,0.054,-0.041,-0.021,
0.27,0,0,0,0,0,0,0,0,0,0.011,0.001,0,0.028,-0.016,0.029,0.054,-0.041,-0.021,
0.28,0,0,0,0,0,0,0,0,0,0.011,0.001,0,-0.028,-0.016,-0.01,0.054,-0.041,-0.021,
0.29,0,0,0,0,0,0,0,0,0,0.011,0.001,0,-0.028,-0.016,-0.01,0.054,-0.016,0.07,
0.3,0,0,0,0,0,0,0,0,0,0.011,0.001,0,-0.028,-0.016,-0.01,0.054,-0.016,0.07,
0.31,0,0,0,0,0,0,0,0,0,0.011,0.001,0,-0.028,-0.016,-0.01,0.054,-0.016,0.07,
0.32,0,0,0,0,0,0,0,0,0,0.011,0.001,0,-0.028,-0.016,-0.01,0.054,-0.016,0.07,
0.33,0,0,0,0,0,0,0,0,0,0.011,0.001,0,-0.028,-0.016,-0.01,0.054,-0.016,0.07,
0.34,0,0,0,0,0,0,0,0,0,-0.069,0.001,-0.011,-0.017,-0.016,-0.01,0.054,-0.016,0.07,
0.35,0,0,0,0,0,0,0,0,0,-0.069,0.001,-0.011,-0.017,0.001,0.01,0.077,-0.003,0.07,
